date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,city
2025-05-08 00:00:00+00:00,65.9,35.2,462.0,9.0,2.5,93.0,62.0,0.0,Islamabad
2025-05-08 01:00:00+00:00,56.3,33.8,491.0,13.1,3.8,96.0,79.0,0.05,Islamabad
2025-05-08 02:00:00+00:00,68.0,39.1,594.0,18.6,5.7,102.0,103.0,0.5,Islamabad
2025-05-08 03:00:00+00:00,107.6,47.1,651.0,21.3,7.2,110.0,120.0,1.05,Islamabad
2025-05-08 04:00:00+00:00,110.6,49.5,597.0,18.7,8.2,124.0,123.0,0.8,Islamabad
2025-05-08 05:00:00+00:00,105.5,47.7,496.0,13.4,8.9,140.0,120.0,1.25,Islamabad
2025-05-08 06:00:00+00:00,101.7,45.3,426.0,9.0,9.3,154.0,114.0,4.8,Islamabad
2025-05-08 07:00:00+00:00,98.5,44.5,415.0,6.7,9.3,164.0,107.0,6.15,Islamabad
2025-05-08 08:00:00+00:00,92.2,42.6,434.0,5.4,9.0,172.0,98.0,4.45,Islamabad
2025-05-08 09:00:00+00:00,86.8,42.0,472.0,5.3,9.0,175.0,91.0,2.7,Islamabad
2025-05-08 10:00:00+00:00,79.6,39.7,469.0,6.6,9.7,174.0,89.0,1.85,Islamabad
2025-05-08 11:00:00+00:00,82.2,41.4,484.0,9.1,10.7,169.0,88.0,1.2,Islamabad
2025-05-08 12:00:00+00:00,64.0,43.0,686.0,27.4,5.9,121.0,42.0,0.5,Islamabad
2025-05-08 13:00:00+00:00,62.9,41.6,1289.0,34.6,6.2,106.0,41.0,0.1,Islamabad
2025-05-08 14:00:00+00:00,60.5,41.9,2079.0,44.7,6.7,85.0,39.0,0.0,Islamabad
2025-05-08 15:00:00+00:00,65.2,47.6,2583.0,53.6,7.1,65.0,36.0,0.0,Islamabad
2025-05-08 16:00:00+00:00,67.3,51.9,2567.0,60.7,7.3,48.0,31.0,0.0,Islamabad
2025-05-08 17:00:00+00:00,64.0,52.0,2265.0,66.5,7.5,31.0,26.0,0.0,Islamabad
2025-05-08 18:00:00+00:00,61.5,51.1,1910.0,69.1,7.4,20.0,21.0,0.0,Islamabad
2025-05-08 19:00:00+00:00,58.6,49.1,1531.0,66.6,7.0,15.0,18.0,0.0,Islamabad
2025-05-08 20:00:00+00:00,53.8,46.1,1100.0,60.7,6.3,16.0,15.0,0.0,Islamabad
2025-05-08 21:00:00+00:00,49.0,42.5,759.0,54.7,5.6,17.0,13.0,0.0,Islamabad
2025-05-08 22:00:00+00:00,46.9,40.7,571.0,49.4,4.8,16.0,12.0,0.0,Islamabad
2025-05-08 23:00:00+00:00,43.0,37.3,473.0,44.0,4.1,17.0,11.0,0.0,Islamabad
2025-05-09 00:00:00+00:00,32.0,26.7,425.0,20.7,4.0,68.0,10.0,0.0,Islamabad
2025-05-09 01:00:00+00:00,27.8,24.3,440.0,23.9,4.2,72.0,12.0,0.15,Islamabad
2025-05-09 02:00:00+00:00,30.6,26.5,504.0,28.0,4.5,78.0,15.0,0.6,Islamabad
2025-05-09 03:00:00+00:00,34.7,23.5,535.0,28.5,4.9,89.0,22.0,1.75,Islamabad
2025-05-09 04:00:00+00:00,44.8,23.3,485.0,21.9,5.4,111.0,37.0,3.7,Islamabad
2025-05-09 05:00:00+00:00,55.9,25.4,401.0,11.9,5.9,139.0,55.0,5.7,Islamabad
2025-05-09 06:00:00+00:00,60.1,26.7,342.0,4.4,6.3,160.0,68.0,7.65,Islamabad
2025-05-09 07:00:00+00:00,60.8,27.2,333.0,2.3,6.5,170.0,69.0,8.4,Islamabad
2025-05-09 08:00:00+00:00,58.4,26.7,349.0,2.9,6.6,173.0,64.0,7.4,Islamabad
2025-05-09 09:00:00+00:00,54.2,25.6,377.0,4.1,7.0,174.0,59.0,5.45,Islamabad
2025-05-09 10:00:00+00:00,50.2,24.3,403.0,3.3,7.9,178.0,57.0,3.65,Islamabad
2025-05-09 11:00:00+00:00,49.0,23.5,441.0,3.0,9.0,180.0,55.0,1.95,Islamabad
2025-05-09 12:00:00+00:00,58.8,27.1,515.0,8.8,9.5,174.0,65.0,0.75,Islamabad
2025-05-09 13:00:00+00:00,58.9,27.9,664.0,44.6,11.7,132.0,64.0,0.15,Islamabad
2025-05-09 14:00:00+00:00,73.6,44.4,849.0,93.6,14.8,74.0,63.0,0.0,Islamabad
2025-05-09 15:00:00+00:00,92.4,63.1,977.0,127.8,16.4,29.0,60.0,0.0,Islamabad
2025-05-09 16:00:00+00:00,100.1,70.3,1012.0,134.0,15.5,10.0,53.0,0.0,Islamabad
2025-05-09 17:00:00+00:00,100.1,72.9,990.0,125.4,13.3,5.0,44.0,0.0,Islamabad
2025-05-09 18:00:00+00:00,85.0,66.8,924.0,113.0,10.9,4.0,36.0,0.0,Islamabad
2025-05-09 19:00:00+00:00,69.8,56.5,789.0,98.7,8.6,7.0,31.0,0.0,Islamabad
2025-05-09 20:00:00+00:00,59.6,47.6,610.0,80.7,6.2,15.0,26.0,0.0,Islamabad
2025-05-09 21:00:00+00:00,51.3,39.8,475.0,63.9,4.4,23.0,23.0,0.0,Islamabad
2025-05-09 22:00:00+00:00,44.2,32.9,414.0,49.2,3.4,30.0,20.0,0.0,Islamabad
2025-05-09 23:00:00+00:00,37.0,26.9,396.0,35.8,2.9,37.0,18.0,0.0,Islamabad
2025-05-10 00:00:00+00:00,30.5,23.4,422.0,27.4,3.0,43.0,14.0,0.0,Islamabad
2025-05-10 01:00:00+00:00,27.2,21.7,529.0,28.0,3.5,55.0,17.0,0.25,Islamabad
2025-05-10 02:00:00+00:00,28.8,22.8,679.0,28.6,4.2,72.0,22.0,1.05,Islamabad
2025-05-10 03:00:00+00:00,35.0,22.5,757.0,26.9,5.7,94.0,26.0,2.7,Islamabad
