date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,city
2025-05-08 00:00:00+00:00,41.9,24.1,244.0,38.3,14.4,12.0,28.0,0.0,Karachi
2025-05-08 01:00:00+00:00,39.6,23.2,311.0,31.4,16.0,21.0,32.0,0.05,Karachi
2025-05-08 02:00:00+00:00,42.8,21.5,397.0,21.7,18.3,33.0,38.0,0.4,Karachi
2025-05-08 03:00:00+00:00,47.0,19.3,445.0,13.8,20.1,47.0,43.0,1.45,Karachi
2025-05-08 04:00:00+00:00,50.3,19.5,419.0,9.4,21.1,64.0,46.0,3.4,Karachi
2025-05-08 05:00:00+00:00,51.3,20.8,356.0,6.7,21.6,83.0,48.0,5.95,Karachi
2025-05-08 06:00:00+00:00,52.7,22.4,304.0,4.9,21.4,97.0,49.0,8.3,Karachi
2025-05-08 07:00:00+00:00,52.7,22.5,279.0,3.6,20.1,104.0,50.0,9.6,Karachi
2025-05-08 08:00:00+00:00,53.6,22.0,266.0,3.2,18.1,105.0,50.0,9.35,Karachi
2025-05-08 09:00:00+00:00,52.2,21.3,269.0,3.4,16.8,104.0,51.0,7.6,Karachi
2025-05-08 10:00:00+00:00,53.0,21.2,300.0,4.1,16.9,99.0,53.0,5.1,Karachi
2025-05-08 11:00:00+00:00,53.0,21.1,347.0,5.5,17.6,92.0,55.0,2.7,Karachi
2025-05-08 12:00:00+00:00,48.7,19.6,382.0,7.4,18.6,85.0,49.0,1.05,Karachi
2025-05-08 13:00:00+00:00,50.9,19.6,396.0,11.1,18.8,72.0,51.0,0.25,Karachi
2025-05-08 14:00:00+00:00,50.4,19.3,398.0,16.2,19.0,55.0,53.0,0.0,Karachi
2025-05-08 15:00:00+00:00,50.9,19.7,387.0,20.7,18.9,41.0,54.0,0.0,Karachi
2025-05-08 16:00:00+00:00,50.6,20.8,353.0,24.0,18.2,34.0,54.0,0.0,Karachi
2025-05-08 17:00:00+00:00,52.5,22.0,306.0,26.6,17.1,31.0,53.0,0.0,Karachi
2025-05-08 18:00:00+00:00,54.0,23.2,273.0,27.9,15.8,29.0,53.0,0.0,Karachi
2025-05-08 19:00:00+00:00,56.1,24.0,264.0,27.2,14.2,29.0,54.0,0.0,Karachi
2025-05-08 20:00:00+00:00,58.0,24.5,268.0,25.1,12.4,30.0,56.0,0.0,Karachi
2025-05-08 21:00:00+00:00,59.0,25.1,280.0,23.3,11.1,31.0,58.0,0.0,Karachi
2025-05-08 22:00:00+00:00,59.8,25.5,296.0,22.6,10.3,29.0,58.0,0.0,Karachi
2025-05-08 23:00:00+00:00,61.7,25.7,320.0,22.2,10.0,28.0,58.0,0.0,Karachi
2025-05-09 00:00:00+00:00,66.1,30.2,354.0,30.4,15.6,18.0,62.0,0.0,Karachi
2025-05-09 01:00:00+00:00,59.5,31.5,414.0,27.8,19.5,24.0,72.0,0.05,Karachi
2025-05-09 02:00:00+00:00,63.3,31.4,484.0,24.0,24.8,34.0,87.0,0.35,Karachi
2025-05-09 03:00:00+00:00,87.8,31.7,520.0,19.8,28.2,47.0,98.0,1.25,Karachi
