date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,us_aqi,city,hour,day_of_week,month,aqi_lag_24,aqi_lag_48,aqi_rolling_24_mean,aqi_rolling_24_std,aqi_change_rate
2025-07-28 00:00:00+00:00,52.5,18.6,137.0,5.6,7.7,58.0,58.0,0.0,76.54255,Karachi,0,0,7,84.30851,76.25887,81.44651063283284,2.338735614573536,-0.09211361
2025-07-28 01:00:00+00:00,68.0,21.3,180.0,6.9,8.3,57.0,66.0,0.0,76.32978,Karachi,1,0,7,84.317375,76.37412,81.113694190979,2.4767036182290196,-0.094732486
2025-07-28 02:00:00+00:00,70.8,19.8,241.0,8.7,9.2,57.0,76.0,0.15,76.29433,Karachi,2,0,7,84.37057,76.49824,80.77718416849773,2.5621385635536447,-0.095723435
2025-07-28 03:00:00+00:00,68.0,20.0,277.0,9.5,10.0,58.0,85.0,0.8,75.97517,Karachi,3,0,7,84.4149,76.63121,80.42552852630615,2.6196850805151093,-0.099979214
2025-07-28 04:00:00+00:00,70.5,20.4,264.0,8.3,10.6,63.0,91.0,2.4,75.629425,Karachi,4,0,7,84.34398,76.83511,80.06242211659749,2.6566347886663113,-0.10332159
2025-07-28 05:00:00+00:00,75.0,21.9,226.0,6.1,11.2,70.0,94.0,3.7,75.28369,Karachi,5,0,7,84.15781,77.118805,79.69266732533772,2.679309949078731,-0.10544613
2025-07-28 06:00:00+00:00,75.9,22.4,199.0,4.4,11.4,76.0,96.0,4.7,75.11525,Karachi,6,0,7,83.80319,77.367035,79.3306697209676,2.6866939890030364,-0.10367078
2025-07-28 07:00:00+00:00,74.0,22.5,194.0,3.6,11.1,79.0,94.0,5.55,74.95567,Karachi,7,0,7,83.395386,77.60638,78.97901503245036,2.6838670929753543,-0.10120119
2025-07-28 08:00:00+00:00,73.1,22.9,200.0,3.3,10.5,80.0,90.0,5.9,74.7961,Karachi,8,0,7,82.89894,77.91667,78.64139652252197,2.678964709142944,-0.09774364
2025-07-28 09:00:00+00:00,72.2,23.1,211.0,3.4,9.9,79.0,87.0,5.1,74.645386,Karachi,9,0,7,82.49113,78.17376,78.31449063618977,2.667440169159255,-0.095110126
2025-07-28 10:00:00+00:00,72.6,23.0,231.0,4.0,9.6,75.0,87.0,3.6,74.494675,Karachi,10,0,7,82.13652,78.42199,77.99608039855957,2.647396529943916,-0.09303834
2025-07-28 11:00:00+00:00,71.5,22.2,258.0,5.1,9.3,69.0,88.0,2.0,74.379425,Karachi,11,0,7,81.84397,78.5195,77.68505764007568,2.6139473817908168,-0.09120459
2025-07-28 12:00:00+00:00,79.4,24.3,275.0,6.3,10.1,64.0,98.0,0.75,74.23759,Karachi,12,0,7,81.66666,78.537224,77.37551307678223,2.5612910935102096,-0.09096821
2025-07-28 13:00:00+00:00,79.6,24.4,276.0,8.2,10.0,60.0,94.0,0.2,74.04255,Karachi,13,0,7,81.27659,78.66135,77.07409477233887,2.5073341577511856,-0.0890052
2025-07-28 14:00:00+00:00,75.7,23.8,269.0,10.9,9.9,53.0,89.0,0.0,73.82092,Karachi,14,0,7,80.98405,78.84752,76.77563126881917,2.4472889687564496,-0.08845105
2025-07-28 15:00:00+00:00,71.9,23.5,260.0,12.7,9.8,49.0,84.0,0.0,73.33333,Karachi,15,0,7,80.94858,79.07802,76.45832920074463,2.37534224564386,-0.09407515
2025-07-28 16:00:00+00:00,69.2,23.7,256.0,13.2,9.8,48.0,79.0,0.0,73.00532,Karachi,16,0,7,80.76241,79.40602,76.13511689503987,2.290459706118116,-0.09604833
2025-07-28 17:00:00+00:00,66.6,23.5,250.0,12.9,9.7,49.0,74.0,0.0,72.73049,Karachi,17,0,7,80.567375,79.742905,75.80858008066814,2.18741716785486,-0.09727118
2025-07-28 18:00:00+00:00,63.8,23.0,237.0,12.0,9.5,50.0,69.0,0.0,72.38475,Karachi,18,0,7,80.416664,80.12411,75.47391700744629,2.062611739779968,-0.09987872
2025-07-28 19:00:00+00:00,62.2,22.7,207.0,10.4,8.9,51.0,64.0,0.0,72.10993,Karachi,19,0,7,80.13297,80.62056,75.13962364196777,1.91989573353118,-0.100121595
2025-07-28 20:00:00+00:00,57.6,21.1,170.0,8.2,8.0,53.0,60.0,0.0,71.96809,Karachi,20,0,7,79.689705,81.19681,74.81788953145345,1.7649866780185772,-0.09689606
