date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,city
2025-05-08 00:00:00+00:00,80.1,48.7,614.0,7.2,11.6,121.0,60.0,0.0,Lahore
2025-05-08 01:00:00+00:00,95.5,48.1,643.0,12.1,11.9,116.0,89.0,0.05,Lahore
2025-05-08 02:00:00+00:00,98.0,50.8,690.0,18.7,12.3,110.0,131.0,0.4,Lahore
2025-05-08 03:00:00+00:00,146.7,52.7,692.0,22.2,13.0,111.0,178.0,0.9,Lahore
2025-05-08 04:00:00+00:00,191.4,56.0,599.0,19.9,14.4,126.0,241.0,1.95,Lahore
2025-05-08 05:00:00+00:00,238.4,60.1,460.0,14.5,16.1,149.0,308.0,1.8,Lahore
2025-05-08 06:00:00+00:00,238.0,61.5,362.0,9.9,16.8,169.0,339.0,2.4,Lahore
2025-05-08 07:00:00+00:00,218.9,61.0,343.0,7.3,15.6,183.0,303.0,5.3,Lahore
2025-05-08 08:00:00+00:00,175.6,54.9,366.0,5.4,13.5,193.0,231.0,3.9,Lahore
2025-05-08 09:00:00+00:00,140.2,52.4,400.0,4.6,11.7,199.0,172.0,2.45,Lahore
2025-05-08 10:00:00+00:00,125.3,50.6,429.0,3.4,10.8,201.0,145.0,1.45,Lahore
2025-05-08 11:00:00+00:00,116.2,49.6,470.0,3.2,10.3,198.0,130.0,1.1,Lahore
2025-05-08 12:00:00+00:00,132.2,51.6,545.0,9.2,11.0,182.0,158.0,0.45,Lahore
2025-05-08 13:00:00+00:00,121.1,50.1,664.0,15.2,10.7,161.0,136.0,0.1,Lahore
2025-05-08 14:00:00+00:00,103.6,51.5,819.0,23.9,10.3,133.0,105.0,0.0,Lahore
2025-05-08 15:00:00+00:00,98.3,55.8,1002.0,32.6,10.2,106.0,83.0,0.0,Lahore
2025-05-08 16:00:00+00:00,102.0,60.8,1259.0,41.4,10.6,85.0,78.0,0.0,Lahore
2025-05-08 17:00:00+00:00,109.9,68.0,1544.0,50.3,11.3,66.0,82.0,0.0,Lahore
2025-05-08 18:00:00+00:00,120.1,75.7,1722.0,56.5,11.8,52.0,86.0,0.0,Lahore
2025-05-08 19:00:00+00:00,127.1,79.9,1729.0,59.2,11.8,43.0,89.0,0.0,Lahore
2025-05-08 20:00:00+00:00,129.0,80.6,1628.0,59.1,11.6,39.0,91.0,0.0,Lahore
2025-05-08 21:00:00+00:00,128.5,82.4,1470.0,55.8,11.3,39.0,89.0,0.0,Lahore
2025-05-08 22:00:00+00:00,115.3,80.1,1229.0,46.9,10.9,46.0,76.0,0.0,Lahore
2025-05-08 23:00:00+00:00,99.7,72.6,931.0,34.7,10.5,57.0,57.0,0.0,Lahore
2025-05-09 00:00:00+00:00,71.5,43.5,706.0,8.4,7.6,117.0,53.0,0.0,Lahore
2025-05-09 01:00:00+00:00,70.1,46.3,625.0,11.5,8.5,116.0,50.0,0.15,Lahore
2025-05-09 02:00:00+00:00,75.9,51.1,618.0,15.6,9.8,115.0,48.0,0.75,Lahore
2025-05-09 03:00:00+00:00,82.2,51.7,603.0,17.3,10.9,121.0,58.0,1.85,Lahore
